2013-10-14 14:25:53 - INFO --> In Practice page; '525c3726d4fd7'
2013-10-14 14:26:56 - INFO --> In Practice page; '525c3726d4fd7'
2013-10-14 14:37:25 - INFO --> In Practice page; '525c3726d4fd7'
2013-10-14 14:39:11 - INFO --> In Practice page; '525c3726d4fd7'
2013-10-14 14:39:56 - INFO --> In Practice page; '525c3726d4fd7'
2013-10-14 14:39:58 - INFO --> In Practice page; '525c3726d4fd7'
2013-10-14 14:41:16 - INFO --> In Practice page; '525c3726d4fd7'
2013-10-14 14:41:53 - INFO --> In Practice page; '525c3726d4fd7'
2013-10-14 14:44:02 - INFO --> In Practice page; '525c3726d4fd7'
2013-10-14 14:46:15 - INFO --> In Practice page; '525c3726d4fd7'
2013-10-14 14:49:23 - INFO --> In Practice page; '525c3726d4fd7'
2013-10-14 14:50:07 - INFO --> In Practice page; '525c3726d4fd7'
2013-10-14 14:51:13 - INFO --> In Practice page; '525c3726d4fd7'
2013-10-14 14:51:26 - INFO --> In Practice page; '525c3726d4fd7'
2013-10-14 14:52:35 - INFO --> In Practice page; '525c3726d4fd7'
