2013-10-14 14:56:15 - INFO --> In Practice page; '525c3e4e3388d'
2013-10-14 14:59:25 - INFO --> In Practice page; '525c3e4e3388d'
2013-10-14 15:00:49 - INFO --> In Practice page; '525c3e4e3388d'
2013-10-14 15:02:20 - INFO --> In Practice page; '525c3e4e3388d'
2013-10-14 15:04:05 - INFO --> In Practice page; '525c3e4e3388d'
2013-10-14 15:06:18 - INFO --> In Practice page; '525c3e4e3388d'
2013-10-14 15:08:28 - INFO --> In Practice page; '525c3e4e3388d'
2013-10-14 15:18:09 - INFO --> In Practice page; '525c3e4e3388d'
2013-10-14 15:18:40 - INFO --> In Practice page; '525c3e4e3388d'
2013-10-14 15:19:08 - INFO --> In Practice page; '525c3e4e3388d'
2013-10-14 15:19:12 - INFO --> In Practice page; '525c3e4e3388d'
2013-10-14 15:19:13 - INFO --> In Practice page; '525c3e4e3388d'
2013-10-14 15:24:25 - INFO --> In Practice page; '525c3e4e3388d'
2013-10-14 15:25:07 - INFO --> In Practice page; '525c3e4e3388d'
2013-10-14 15:25:09 - INFO --> In Practice page; '525c3e4e3388d'
