2013-10-14 16:00:57 - INFO --> In Practice page; '525c4d78d4735'
2013-10-14 16:02:06 - INFO --> In Practice page; '525c4d78d4735'
2013-10-14 16:03:02 - INFO --> In Practice page; '525c4d78d4735'
2013-10-14 16:03:30 - INFO --> In Practice page; '525c4d78d4735'
2013-10-14 16:03:35 - INFO --> In Practice page; '525c4d78d4735'
2013-10-14 16:04:10 - INFO --> In Practice page; '525c4d78d4735'
2013-10-14 16:04:40 - INFO --> In Practice page; '525c4d78d4735'
2013-10-14 16:05:32 - INFO --> In Practice page; '525c4d78d4735'
2013-10-14 16:05:46 - INFO --> In Practice page; '525c4d78d4735'
2013-10-14 16:06:48 - INFO --> In Practice page; '525c4d78d4735'
2013-10-14 16:07:27 - INFO --> In Practice page; '525c4d78d4735'
2013-10-14 16:07:50 - INFO --> In Practice page; '525c4d78d4735'
2013-10-14 16:10:46 - INFO --> In Practice page; '525c4d78d4735'
2013-10-14 16:11:57 - INFO --> In Practice page; '525c4d78d4735'
2013-10-14 16:12:16 - INFO --> In Practice page; '525c4d78d4735'
2013-10-14 16:12:52 - INFO --> In Practice page; '525c4d78d4735'
2013-10-14 16:13:08 - INFO --> In Practice page; '525c4d78d4735'
2013-10-14 16:20:05 - INFO --> In Practice page; '525c4d78d4735'
2013-10-14 16:20:24 - INFO --> In Practice page; '525c4d78d4735'
2013-10-14 16:20:47 - INFO --> In Practice page; '525c4d78d4735'
2013-10-14 16:21:25 - INFO --> In Practice page; '525c4d78d4735'
2013-10-14 16:22:34 - INFO --> In Practice page; '525c4d78d4735'
2013-10-14 16:23:13 - INFO --> In Practice page; '525c4d78d4735'
2013-10-14 16:23:35 - INFO --> In Practice page; '525c4d78d4735'
2013-10-14 16:25:37 - INFO --> In Practice page; '525c4d78d4735'
