2013-10-28 11:14:09 - INFO --> In Practice page; '526e7f39a6563'
2013-10-28 11:14:43 - INFO --> In Practice page; '526e7f39a6563'
2013-10-28 11:19:18 - INFO --> In Practice page; '526e7f39a6563'
2013-10-28 11:20:03 - INFO --> In Practice page; '526e7f39a6563'
2013-10-28 11:20:51 - INFO --> In Practice page; '526e7f39a6563'
2013-10-28 11:22:12 - INFO --> In Practice page; '526e7f39a6563'
2013-10-28 11:23:47 - INFO --> In Practice page; '526e7f39a6563'
2013-10-28 11:24:13 - INFO --> In Practice page; '526e7f39a6563'
2013-10-28 11:24:22 - INFO --> In Practice page; '526e7f39a6563'
2013-10-28 11:27:48 - INFO --> In Practice page; '526e7f39a6563'
2013-10-28 11:28:20 - INFO --> In Practice page; '526e7f39a6563'
2013-10-28 11:29:04 - INFO --> In Practice page; '526e7f39a6563'
2013-10-28 11:29:07 - INFO --> In Practice page; '526e7f39a6563'
2013-10-28 11:30:47 - INFO --> In Practice page; '526e7f39a6563'
2013-10-28 11:31:22 - INFO --> In Practice page; '526e7f39a6563'
2013-10-28 11:33:10 - INFO --> In Practice page; '526e7f39a6563'
2013-10-28 11:33:13 - INFO --> In Practice page; '526e7f39a6563'
2013-10-28 11:34:22 - INFO --> In Practice page; '526e7f39a6563'
2013-10-28 11:34:58 - INFO --> In Practice page; '526e7f39a6563'
2013-10-28 11:35:51 - INFO --> In Practice page; '526e7f39a6563'
2013-10-28 11:36:44 - INFO --> In Practice page; '526e7f39a6563'
2013-10-28 11:37:13 - INFO --> In Practice page; '526e7f39a6563'
2013-10-28 11:38:43 - INFO --> In Practice page; '526e7f39a6563'
2013-10-28 11:40:27 - INFO --> In Practice page; '526e7f39a6563'
2013-10-28 11:42:57 - INFO --> In Practice page; '526e7f39a6563'
2013-10-28 11:43:50 - INFO --> In Practice page; '526e7f39a6563'
