2013-10-28 11:44:54 - INFO --> In Practice page; '526e867478678'
2013-10-28 11:45:14 - INFO --> In Practice page; '526e867478678'
2013-10-28 11:46:20 - INFO --> In Practice page; '526e867478678'
2013-10-28 11:46:35 - INFO --> In Practice page; '526e867478678'
2013-10-28 11:49:28 - INFO --> In Practice page; '526e867478678'
2013-10-28 11:49:39 - INFO --> In Practice page; '526e867478678'
2013-10-28 11:50:22 - INFO --> In Practice page; '526e867478678'
2013-10-28 11:53:58 - INFO --> In Practice page; '526e867478678'
2013-10-28 11:54:02 - INFO --> In Practice page; '526e867478678'
2013-10-28 11:55:17 - INFO --> In Practice page; '526e867478678'
2013-10-28 11:56:08 - INFO --> In Practice page; '526e867478678'
2013-10-28 12:00:28 - INFO --> In Practice page; '526e867478678'
2013-10-28 12:00:35 - INFO --> In Practice page; '526e867478678'
