2013-11-04 11:18:34 - INFO --> In Practice page; '5277c8d86c2f7'
2013-11-04 11:19:25 - INFO --> In Practice page; '5277c8d86c2f7'
2013-11-04 11:20:16 - INFO --> In Practice page; '5277c8d86c2f7'
2013-11-04 11:27:13 - INFO --> In Practice page; '5277c8d86c2f7'
2013-11-04 11:32:36 - INFO --> In Practice page; '5277c8d86c2f7'
2013-11-04 11:32:37 - INFO --> In Practice page; '5277c8d86c2f7'
2013-11-04 11:34:16 - INFO --> In Practice page; '5277c8d86c2f7'
2013-11-04 11:35:36 - INFO --> In Practice page; '5277c8d86c2f7'
2013-11-04 11:35:53 - INFO --> In Practice page; '5277c8d86c2f7'
2013-11-04 11:36:57 - INFO --> In Practice page; '5277c8d86c2f7'
2013-11-04 11:37:59 - INFO --> In Practice page; '5277c8d86c2f7'
2013-11-04 11:39:03 - INFO --> In Practice page; '5277c8d86c2f7'
2013-11-04 11:39:13 - INFO --> In Practice page; '5277c8d86c2f7'
2013-11-04 11:40:26 - INFO --> In Practice page; '5277c8d86c2f7'
2013-11-04 11:42:56 - INFO --> In Practice page; '5277c8d86c2f7'
2013-11-04 11:43:10 - INFO --> In Practice page; '5277c8d86c2f7'
2013-11-04 11:45:06 - INFO --> In Practice page; '5277c8d86c2f7'
