2013-11-05 18:49:07 - INFO --> In Practice page; '527983f17717a'
2013-11-05 18:49:41 - INFO --> In Practice page; '527983f17717a'
2013-11-05 18:52:14 - INFO --> In Practice page; '527983f17717a'
2013-11-05 18:52:15 - INFO --> In Practice page; '527983f17717a'
2013-11-05 18:52:19 - INFO --> In Practice page; '527983f17717a'
2013-11-05 18:54:47 - INFO --> In Practice page; '527983f17717a'
2013-11-05 18:54:49 - INFO --> In Practice page; '527983f17717a'
2013-11-05 18:54:51 - INFO --> In Practice page; '527983f17717a'
2013-11-05 18:55:08 - INFO --> In Practice page; '527983f17717a'
2013-11-05 18:55:09 - INFO --> In Practice page; '527983f17717a'
2013-11-05 18:55:13 - INFO --> In Practice page; '527983f17717a'
2013-11-05 18:57:15 - INFO --> In Practice page; '527983f17717a'
2013-11-05 18:57:18 - INFO --> In Practice page; '527983f17717a'
2013-11-05 18:57:20 - INFO --> In Practice page; '527983f17717a'
2013-11-05 18:57:24 - INFO --> In Practice page; '527983f17717a'
2013-11-05 18:58:23 - INFO --> In Practice page; '527983f17717a'
2013-11-05 18:58:25 - INFO --> In Practice page; '527983f17717a'
2013-11-05 18:58:48 - INFO --> In Practice page; '527983f17717a'
2013-11-05 18:58:53 - INFO --> In Practice page; '527983f17717a'
2013-11-05 19:00:04 - INFO --> In Practice page; '527983f17717a'
2013-11-05 19:00:05 - INFO --> In Practice page; '527983f17717a'
2013-11-05 19:00:24 - INFO --> In Practice page; '527983f17717a'
2013-11-05 19:00:25 - INFO --> In Practice page; '527983f17717a'
2013-11-05 19:01:28 - INFO --> In Practice page; '527983f17717a'
2013-11-05 19:01:30 - INFO --> In Practice page; '527983f17717a'
2013-11-05 19:01:52 - INFO --> In Practice page; '527983f17717a'
2013-11-05 19:01:54 - INFO --> In Practice page; '527983f17717a'
2013-11-05 19:02:45 - INFO --> In Practice page; '527983f17717a'
2013-11-05 19:02:46 - INFO --> In Practice page; '527983f17717a'
2013-11-05 19:02:50 - INFO --> In Practice page; '527983f17717a'
